corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
cnc,train_1000_10000,10000,0,cnc_train_100_1000_10000_10,"'the say alleged they hacked sabata petros chale , 39 , to demise in marikana occident , on december 8 , 2016 , allegedly over the allocation of low cost rdp houses at marikana occident extension 2 '","['the say alleged <ARG1>they hacked sabata petros chale , 39 , to demise in marikana occident , on december 8 , 2016</ARG1> , allegedly <SIG0>over</SIG0> <ARG0>the allocation of low cost rdp houses at marikana occident extension 2</ARG0> ']",1
cnc,train_1001_10001,10001,0,cnc_train_101_1001_10001_10,"'the state aver they hacked sabata petros chale , 39 , to decease in marikana west , on december , 2016 , allegedly over the allocation of low cost rdp houses at marikana west extension 2 '","['the state aver <ARG1>they hacked sabata petros chale , 39 , to decease in marikana west , on december , 2016</ARG1> , allegedly <SIG0>over</SIG0> <ARG0>the allocation of low cost rdp houses at marikana west extension 2</ARG0> ']",1
cnc,train_1002_10002,10002,0,cnc_train_102_1002_10002_10,"'the state alleged they hacked sabata petros chale , 39 , to astatine death in marikana west , dec on december 8 , 2016 , allegedly over the allocation of low elongation cost rdp houses at marikana west extension 2 '","['the state alleged <ARG1>they hacked sabata petros chale , 39 , to astatine death in marikana west , dec on december 8 , 2016</ARG1> , allegedly <SIG0>over</SIG0> <ARG0>the allocation of low elongation cost rdp houses at marikana west extension 2</ARG0> ']",1
cnc,train_1003_10003,10003,0,cnc_train_103_1003_10003_10,"'the state alleged they hacked sabata petros chale , 39 , to death in marikana west , on december 8 , 2016 , allegedly over dame rebecca west astatine the allocation of low allege cost rdp houses at marikana west extension 2 '","['the state alleged <ARG1>they hacked sabata petros chale , 39 , to death in marikana west , on december 8 , 2016</ARG1> , allegedly <SIG0>over</SIG0> dame rebecca west astatine <ARG0>the allocation of low allege cost rdp houses at marikana west extension 2</ARG0> ']",1
cnc,train_1004_10004,10004,0,cnc_train_104_1004_10004_10,"'the state alleged they hacked sabata petros chale , 39 , to death in marikana west , on december 8 , 2016 , allegedly over the allocation of low cost rdp houses at marikana west extension 2 '","['the state alleged <ARG1>they hacked sabata petros chale , 39 , to death in marikana west , on december 8 , 2016</ARG1> , allegedly <SIG0>over</SIG0> <ARG0>the allocation of low cost rdp houses at marikana west extension 2</ARG0> ']",1
cnc,train_1005_10005,10005,0,cnc_train_105_1005_10005_10,"""the farmworkers ' impress resumed on tuesday when their demands were not met ""","[""<ARG1>the farmworkers ' impress resumed on tuesday</ARG1> when <ARG0>their demands were not met</ARG0> ""]",1
cnc,train_1006_10006,10006,0,cnc_train_106_1006_10006_10," ""the farmworkers ' strike resumed on tuesday when their demands were not met ""","[ ""<ARG1>the farmworkers ' strike resumed on tuesday</ARG1> when <ARG0>their demands were not met</ARG0> ""]",1
cnc,train_1007_10007,10007,0,cnc_train_107_1007_10007_10,"""the farmworkers ' strike resumed on tuesday when work stoppage their demands were not met ""","[""<ARG1>the farmworkers ' strike resumed on tuesday</ARG1> when work stoppage <ARG0>their demands were not met</ARG0> ""]",1
cnc,train_1008_10008,10008,0,cnc_train_108_1008_10008_10,"""the farmworkers ' strike resumed on tuesday when their requirement were not met ""","[""<ARG1>the farmworkers ' strike resumed on tuesday</ARG1> when <ARG0>their requirement were not met</ARG0> ""]",1
cnc,train_1009_10009,10009,0,cnc_train_109_1009_10009_10,"""the farmworkers ' strike resumed on tuesday when their demands were not met ""","[""<ARG1>the farmworkers ' strike resumed on tuesday</ARG1> when <ARG0>their demands were not met</ARG0> ""]",1
cnc,train_1020_10020,10020,0,cnc_train_120_1020_10020_10,'protesters are angry reaction at the patrol police s slow response to the attack in yuen long and their pursuit of the case ',['<ARG1>protesters are angry</ARG1> reaction <SIG0>at</SIG0> <ARG0>the patrol police s slow response to the attack in yuen long and their pursuit of the case</ARG0> '],1
cnc,train_1021_10021,10021,0,cnc_train_121_1021_10021_10,'protesters are angry at second the police s slow response live to the attack in yuen long and their pursuit of the case ',['<ARG1>protesters are angry</ARG1> <SIG0>at</SIG0> second <ARG0>the police s slow response live to the attack in yuen long and their pursuit of the case</ARG0> '],1
